gender,uti_ratio,limit,mortgage_payment,n_overdue,n_cards,overdue
M,0.65,2000,0,2,12,0
M,1.11,2000,0,14,4,1
M,1.09,2000,0,0,0,1
M,0.94,2000,0,1,1,0
M,1,2000,0,12,1,1
M,1.1,2000,0,12,1,1
M,0.98,2000,0,0,3,0
M,0.87,2000,0,3,10,1
M,0.67,2000,0,2,9,1
M,0.54,2000,0,2,0,1
M,0.08,2000,0,0,5,0
M,1,2000,0,0,17,0
M,0.51,2000,0,1,2,0
M,1.01,2000,0,4,0,0
M,0.02,2000,0,0,6,0
M,1.65,2000,0,19,12,1
M,1.01,2000,0,0,4,0
M,1.01,2000,0,3,10,0
M,0.99,2000,0,0,2,0
M,1.01,2000,4383,10,2,1
M,0.99,2000,16691,1,14,0
M,2.07,2000,0,0,16,1
M,1.01,2000,0,0,6,1
M,0.83,2000,0,0,12,0
M,1.02,2000,0,7,14,1
M,0.97,2000,0,0,9,0
M,1,2000,3487,2,9,0
M,0.66,2000,0,3,20,0
M,1.62,2000,0,0,8,0
M,1.21,2000,966,0,13,0
M,0.9,2000,0,3,0,1
M,0.82,2000,0,6,0,1
M,0.6,2000,0,6,6,0
M,1.03,2000,0,0,3,0
M,1,2000,6124,1,1,0
M,0.83,2000,452,0,11,0
M,1,2000,0,3,8,1
M,0.22,2000,0,1,17,0
M,1,2000,0,0,7,0
M,0.38,2000,0,4,2,1
M,0.8,2000,0,0,3,1
M,1,2000,0,2,6,0
M,2.17,2000,0,4,22,1
M,0.99,2000,0,4,17,1
M,1,2000,0,2,11,0
M,1.06,2000,0,1,16,0
M,1.03,2000,0,4,5,0
M,1,2000,0,2,7,1
M,1.02,2000,0,3,0,0
M,1,2000,0,0,16,0
M,0.68,2000,0,3,6,0
M,1.02,2000,0,2,2,0
M,0.99,2000,0,8,1,1
M,1.02,2000,0,0,0,0
M,0.13,2000,1580,0,12,0
M,0.24,2000,0,0,0,1
M,1.02,2000,0,12,0,0
M,0.18,2000,1332,0,0,0
M,0.84,2000,0,1,18,0
M,0.78,2000,0,0,3,0
M,0.57,2000,0,0,3,0
M,1.51,2000,0,2,14,1
M,0.86,2000,0,4,11,0
M,1.05,2000,0,0,22,0
M,0.63,2000,0,0,0,1
M,0.6,2000,0,1,3,0
M,0,2000,0,1,0,0
M,0.49,2000,0,2,7,0
M,1.02,2000,0,0,5,0
M,1,2000,0,4,6,1
M,1.01,2000,690,1,8,0
M,0.99,2000,0,0,25,0
M,0.59,2000,1524,0,2,0
M,1,2000,0,0,6,0
M,1,2000,0,2,1,0
M,0.87,2000,0,6,5,1
M,1.06,2000,0,0,9,0
M,0.9,2000,0,1,0,0
M,0.02,2000,0,0,0,0
M,0,2000,0,0,0,0
M,0.25,2000,0,0,0,0
M,0.42,2000,0,5,0,0
M,1,2000,0,3,7,0
M,1.01,2000,0,7,10,0
M,0.71,2000,0,4,0,0
M,0.99,2000,0,0,8,1
M,0.99,2000,0,0,0,0
M,1,2000,0,1,2,0
M,0,2000,0,0,7,0
M,0.81,2000,0,1,0,1
M,0.99,2000,0,1,11,0
M,1,2000,0,0,5,0
M,0.93,2000,0,0,22,0
M,0.92,2000,0,0,0,0
M,0.98,2000,0,2,3,0
M,0.05,2000,0,0,5,0
M,1,2000,0,0,2,0
M,1,2000,0,0,3,0
M,1.04,2000,0,1,3,0
M,0.93,2000,0,0,2,0
M,0.99,2000,0,0,12,0
M,0.94,2000,0,5,0,0
M,0.98,2000,0,1,4,0
M,0.9,2000,0,2,0,0
M,1.01,2000,0,3,0,1
M,0.98,2000,0,1,4,0
M,1.99,2000,0,5,11,0
M,0.57,2000,0,2,1,1
M,0.11,2000,0,0,2,1
M,0.6,2000,0,0,2,1
M,0.22,2000,0,0,3,0
M,1.3,2000,1754,6,15,0
M,0,2000,0,1,7,1
M,0.36,2000,0,1,12,1
M,0.02,2000,0,2,2,0
M,0.02,2000,0,0,11,0
M,1.23,2000,0,14,2,1
M,0.12,2000,0,0,6,0
M,0.53,2000,0,1,4,1
M,0.95,2000,1164,0,4,0
M,1,2000,22171,0,13,0
M,1.02,2000,0,8,13,1
M,0.23,2000,0,0,0,0
M,0.58,2000,0,0,2,1
M,1,2000,0,0,4,1
M,0.69,2000,0,0,5,1
M,0,2000,0,2,7,1
M,1.46,2000,0,0,8,0
M,1.29,2000,0,0,12,0
M,1.08,2000,0,2,7,1
M,1,2000,0,0,12,0
M,0.32,2000,0,5,0,1
M,1.1,2000,1951,7,3,0
M,0.04,2000,0,3,9,0
M,1.01,2000,0,2,4,0
M,1.09,2000,0,2,3,0
M,0,2000,0,6,0,0
M,1.03,2000,0,3,6,0
M,0,2000,0,5,1,1
M,1,2000,0,2,0,1
M,0.88,2000,0,20,2,1
M,0,2000,0,0,0,0
M,1.31,2000,0,4,20,1
M,1.01,2000,0,4,3,0
M,1,2000,0,0,13,1
M,1.01,2000,2765,1,7,0
M,1.04,2000,0,7,5,0
M,0.2,2000,0,0,4,0
M,0.97,2000,0,2,15,1
M,0.67,2000,0,0,0,0
M,0.37,2000,0,0,2,0
M,1,2000,0,0,0,0
M,0.47,2000,0,0,2,0
M,0.06,2000,0,0,10,0
M,0.22,2000,0,1,1,1
M,0,2000,0,0,0,0
M,1.02,2000,0,0,6,0
M,0.34,2000,0,0,1,0
M,1,2000,0,1,12,1
M,1.03,2000,0,4,7,0
M,0.78,2000,1913,0,7,1
M,1.18,2000,0,0,25,0
M,1,2000,0,4,16,0
M,1.04,2000,0,1,10,0
M,1.02,2000,0,6,8,1
M,0.01,2000,0,1,0,1
M,0.99,2000,0,6,5,1
M,0.3,2000,0,4,0,0
M,1.03,2000,0,3,13,1
M,1.03,2000,0,1,15,0
M,1.05,2000,1171,0,11,0
M,0.33,2000,0,1,2,1
M,0.99,2000,0,1,0,1
M,0,2000,0,0,2,0
M,1.05,2000,0,0,10,0
M,1.1,2000,0,0,23,1
M,0.75,2000,0,0,3,0
M,0.53,2000,0,4,3,1
M,0.73,2000,0,2,1,0
M,0.83,2000,0,2,4,0
M,1,2000,0,1,21,0
M,0.99,2000,0,0,0,0
M,0,2000,0,2,1,0
M,1,2000,0,0,3,1
M,0.92,2000,0,0,2,0
M,1.1,2000,0,3,8,0
M,0.98,2000,2437,2,14,0
M,0,2000,0,1,0,0
M,1.05,2000,0,3,0,1
M,0.03,2000,0,5,0,0
M,0.04,2000,0,1,1,0
M,1.04,2000,0,2,17,1
M,0.9,2000,0,1,0,0
M,1.01,2000,0,1,0,0
M,1.51,2000,0,4,4,1
M,1.12,2000,0,0,7,1
M,0.15,2000,0,0,1,0
M,0.74,2000,0,0,2,0
M,0.94,2000,0,8,0,1
M,1.02,2000,0,0,0,1
M,0.98,2000,0,0,7,1
M,0.99,2000,1561,0,12,0
M,0.56,2000,0,1,6,1
M,1.2,2000,0,0,24,0
M,0.57,2000,0,1,8,0
M,0,2000,0,0,0,0
M,0.55,2000,0,1,5,0
M,1,2000,0,0,3,0
M,1.02,2000,0,2,4,0
M,0.99,2000,2866,0,13,0
M,0,2000,0,0,0,0
M,1.01,2000,0,2,4,0
M,0.87,2000,0,0,15,1
M,1.01,2000,0,0,0,0
M,0.5,2000,0,3,0,0
M,0.88,2000,0,0,12,0
M,0.7,2000,0,0,1,0
M,0.5,2000,0,3,0,0
M,1.04,2000,0,0,23,1
M,0.97,2000,0,0,5,0
M,1.01,2000,0,2,14,0
M,0,2000,0,1,0,0
M,0.16,2000,0,2,2,0
M,0.28,2000,0,1,5,1
M,0.95,2000,0,8,3,0
M,1,2000,0,1,12,1
M,0.98,2000,0,0,0,1
M,0,2000,0,0,0,0
M,1,2000,0,0,2,0
M,1.01,2000,0,9,14,1
M,1,2000,0,1,14,0
M,0.99,2000,0,0,48,0
M,0.98,2000,0,2,7,0
M,1,2000,0,1,10,0
M,0,2000,0,0,2,0
M,1.1,2000,0,0,10,1
M,1.97,2000,0,2,16,0
M,0.9,2000,0,0,0,0
M,0.38,2000,0,5,1,0
M,1.02,2000,0,13,14,1
M,1.02,2000,0,2,2,1
M,0.23,2000,0,1,7,1
M,1.09,2000,0,5,3,1
M,0.15,2000,0,1,1,1
M,1.27,2000,0,4,7,0
M,1.01,2000,0,0,6,0
M,1.03,2000,0,2,0,0
M,0.47,2000,0,0,8,0
M,0.82,2000,0,0,8,0
M,0,2000,0,0,0,0
M,1.01,2000,0,3,0,0
M,0.57,2000,0,3,5,0
M,0.64,2000,0,6,1,0
M,1.31,2000,0,0,38,1
M,1.01,2000,0,3,2,0
M,1,2000,0,0,11,1
M,1.49,2000,0,2,15,0
M,0.34,2000,0,0,5,0
M,0.38,2000,0,0,0,0
M,0.27,2000,0,2,0,0
M,0.98,2000,0,4,3,0
M,1.34,2000,0,6,18,0
M,1.01,2000,0,0,3,0
M,0.98,2000,0,1,0,1
M,0.1,2000,0,1,3,1
M,0.99,2000,0,4,4,1
M,0.32,2000,0,1,0,0
M,1.05,2000,0,2,10,1
M,0.99,2000,0,3,10,1
M,0.53,2000,0,0,1,0
M,0.8,2000,0,2,6,0
M,1.03,2000,0,16,13,1
M,2.18,2000,0,0,26,1
M,0.2,2000,0,3,2,0
M,0.26,2000,0,3,2,1
M,0.46,2000,0,1,7,0
M,0.1,2000,0,0,4,0
M,0.03,2000,3278,2,2,0
M,0.98,2000,6358,2,10,0
M,1,2000,1146,2,4,0
M,0.02,2000,0,0,2,0
M,1.01,2000,0,0,0,0
M,0.67,2000,0,0,2,0
M,1.43,2000,0,3,0,0
M,0.94,2000,0,1,3,1
M,1.01,2000,0,7,8,1
M,1.02,2000,0,3,0,1
M,1.03,2000,0,8,2,0
M,0.01,2000,0,1,0,0
M,1.3,2000,0,0,8,1
M,0.63,2000,0,0,0,0
M,0.99,2000,0,0,0,0
M,0.82,2000,0,3,7,0
M,1,2000,0,3,0,0
M,0.1,2000,4153,0,4,0
M,0.64,2000,0,4,3,0
M,0.26,2000,0,1,0,0
M,1.01,2000,4183,0,17,0
M,1.01,2000,1274,4,12,1
M,1.02,2000,0,0,2,1
M,1.02,2000,0,11,1,1
M,0.67,2000,0,0,3,0
M,0,2000,0,0,4,0
